area,population,iso,country,capital,continent,tld,currency_code,currency_name,phone,postal_code_format,postal_code_regex,languages,neighbours
274 square kilometres,"16,025",WF,Wallis and Futuna,Mata Utu,OC,.wf,XPF,Franc,681,#####,^(986\d{2})$
274 square kilometres,"16,025",WF,Wallis and Futuna,Mata Utu,OC,.wf,XPF,Franc,681,#####,^(986\d{2})$,"wls,fud,fr-WF"
274 square kilometres,"16,025",WF,Wallis and Futuna,Mata Utu,OC,.wf,XPF,Franc,681,#####,^(986\d{2})$,"wls,fud,fr-WF", 
"329,560 square kilometres"
"329,560 square kilometres","89,571,130"
"329,560 square kilometres","89,571,130",VN
"329,560 square kilometres","89,571,130",VN,Vietnam
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND,Dong
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND,Dong,84
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND,Dong,84,######
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND,Dong,84,######,^(\d{6})$
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND,Dong,84,######,^(\d{6})$,"vi,en,fr,zh,km"
"329,560 square kilometres","89,571,130",VN,Vietnam,Hanoi,AS,.vn,VND,Dong,84,######,^(\d{6})$,"vi,en,fr,zh,km",CN LA KH 
"912,050 square kilometres"
"912,050 square kilometres","27,223,228"
"912,050 square kilometres","27,223,228",VE
"912,050 square kilometres","27,223,228",VE,Venezuela
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF,Bolivar
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF,Bolivar,58
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF,Bolivar,58,####
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF,Bolivar,58,####,^(\d{4})$
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF,Bolivar,58,####,^(\d{4})$,es-VE
"912,050 square kilometres","27,223,228",VE,Venezuela,Caracas,SA,.ve,VEF,Bolivar,58,####,^(\d{4})$,es-VE,GY BR CO 
0 square kilometres
0 square kilometres,921
0 square kilometres,921,VA
0 square kilometres,921,VA,Vatican
0 square kilometres,921,VA,Vatican,Vatican City
0 square kilometres,921,VA,Vatican,Vatican City,EU
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR,Euro
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR,Euro,379
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR,Euro,379,#####
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR,Euro,379,#####,^(\d{5})$
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR,Euro,379,#####,^(\d{5})$,"la,it,fr"
0 square kilometres,921,VA,Vatican,Vatican City,EU,.va,EUR,Euro,379,#####,^(\d{5})$,"la,it,fr",IT 
"12,200 square kilometres"
"12,200 square kilometres","221,552"
"12,200 square kilometres","221,552",VU
"12,200 square kilometres","221,552",VU,Vanuatu
"12,200 square kilometres","221,552",VU,Vanuatu,Port Vila
"12,200 square kilometres","221,552",VU,Vanuatu,Port Vila,O
